Artist,Art Name,Date,Image Thumbnail,artist,cloud prediction
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/52ad8805-9544-4020-b8cf-3ab88b06fba0_size1,durand,Ns
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/396cf531-9bd5-4398-a980-d8fb01ed2586_size1,durand,St
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/396cf531-9bd5-4398-a980-d8fb01ed2586_size1,durand,Ns
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/31020017-316d-4d53-afcb-cec32cd68ac6_size1,durand,St
Asher Brown Durand,High Point: Shandaken Mountains,1853,https://stor.artstor.org/stor/31020017-316d-4d53-afcb-cec32cd68ac6_size1,durand,Ns
Asher Brown Durand,"Lake George, New York",1860,https://stor.artstor.org/stor/98df4b34-54f2-4eb4-87f8-fadd2cdf7727_size1,durand,Cs
Asher Brown Durand,"Three Trees, Hoboken",1834,https://stor.artstor.org/stor/c99832c9-9b18-4e4c-9ee9-1d3264530f73_size1,durand,Ns
Asher Brown Durand,"Three Trees, Hoboken",1834,https://stor.artstor.org/stor/c381ce89-249d-4255-aea6-a7a75de5ff74_size1,durand,Ns
Asher Brown Durand,"Three Trees, Hoboken",1834,https://stor.artstor.org/stor/aa270f17-2ab7-40fe-b680-926a7bc28093_size1,durand,Ns
Asher Brown Durand,Banknote vignette showing woodsmen felling trees in a snowy forest,1824,https://stor.artstor.org/stor/e0f8af7c-f609-4826-9881-5f35dcf9e485_size1,durand,Ns
Asher Brown Durand,Sketch from Nature,1855,https://stor.artstor.org/stor/e0d8f080-3081-4e1f-bf72-19895104526e_size1,durand,Cc
Asher Brown Durand,Sketch from Nature,1855,https://stor.artstor.org/stor/e0d8f080-3081-4e1f-bf72-19895104526e_size1,durand,As
Asher Brown Durand,Sketch from Nature,1855,https://stor.artstor.org/stor/172961f7-a91b-4b30-941d-c3921d5efe50_size1,durand,Cc
